('</s>', '<s>'): 3914
('was', 'the'): 43
('hotel', 'was'): 42
('the', 'best'): 42
(',', 'which'): 42
('very', 'nice'): 42
('a', 'hotel'): 42
('have', 'a'): 42
('service', 'was'): 42
('but', 'the'): 42
('to', 'go'): 41
('to', 'a'): 41
('a', 'nice'): 41
('i', 'am'): 40
('at', 'this'): 40
('that', 'we'): 40
('close', 'to'): 40
('we', 'stayed'): 40
('there', 'is'): 39
('rooms', 'are'): 39
('you', 'can'): 39
('was', 'great'): 39
('have', 'been'): 39
('i', 'could'): 38
('which', 'was'): 38
('of', 'a'): 38
('i', "'ve"): 38
(',', 'they'): 38
('rooms', 'were'): 37
('i', 'did'): 37
('my', 'room'): 37
('<s>', 'in'): 37
('have', 'to'): 37
('by', 'the'): 37
('one', 'of'): 36
('room', 'with'): 36
('stayed', 'in'): 36
('would', 'not'): 36
('and', 'we'): 36
('was', "n't"): 35
('there', 'are'): 35
('at', 'a'): 35
('we', 'got'): 35
('the', 'only'): 35
(',', 'so'): 35
('i', 'will'): 34
('have', 'stayed'): 34
(',', 'a'): 34
('so', 'i'): 34
('here', 'again'): 33
('check', 'in'): 33
(')', '</s>'): 33
('and', 'they'): 33
('<s>', 'you'): 32
('and', 'had'): 32
('<s>', 'no'): 32
('about', 'the'): 32
('a', 'very'): 32
('able', 'to'): 32
('is', 'the'): 32
('but', 'i'): 32
('a', 'few'): 32
('<s>', 'also'): 32
(')', ','): 31
('hotel', 'in'): 31
('the', 'first'): 31
('<s>', 'after'): 31
('our', 'stay'): 31
('the', 'city'): 31
('a', 'good'): 30
('<s>', 'very'): 30
('hotel', 'and'): 30
('<s>', 'and'): 30
('stayed', 'here'): 30
('a', 'little'): 30
('i', "'m"): 30
('great', '.'): 29
('was', 'so'): 29
('that', 'was'): 29
('night', '.'): 29
('get', 'a'): 29
('but', 'it'): 29
('the', 'service'): 29
('recommend', 'this'): 29
('that', 'they'): 29
('room', 'and'): 29
('would', 'be'): 28
('we', 'did'): 28
('<s>', 'but'): 28
('want', 'to'): 28
('were', 'very'): 28
('the', 'same'): 28
('helpful', '.'): 28
('the', 'concierge'): 28
('a', 'lot'): 28
('my', 'wife'): 28
('is', 'not'): 28
(',', 'as'): 27
('of', 'my'): 27
('checked', 'in'): 27
('would', 'have'): 27
('a', 'bit'): 27
('friendly', 'and'): 27
('to', 'have'): 27
('<s>', 'all'): 27
('<s>', 'on'): 27
('the', '``'): 27
('chicago', 'and'): 27
('could', "n't"): 27
('<s>', 'so'): 27
('nice', '.'): 26
('if', 'i'): 26
('location', 'is'): 26
('great', 'location'): 26
('view', 'of'): 26
('<s>', 'not'): 26
('chicago', ','): 26
('hotel', 'for'): 26
('as', 'well'): 26
('...', '</s>'): 26
(',', 'there'): 26
('could', 'not'): 26
('they', 'had'): 26
('service', '.'): 25
('to', 'our'): 25
('<s>', 'great'): 25
('for', 'us'): 25
('that', 'is'): 25
('go', 'to'): 25
('however', ','): 25
('<s>', 'for'): 25
('i', 'called'): 25
(',', 'not'): 25
('we', 'could'): 25
('for', 'my'): 25
('the', 'phone'): 25
('we', 'have'): 25
('location', ','): 25
('customer', 'service'): 24
(',', 'etc'): 24
('was', 'in'): 24
('also', ','): 24
('on', 'our'): 24
('``', '</s>'): 24
(',', 'with'): 24
('got', 'a'): 24
('clean', '.'): 24
('<s>', 'that'): 24
('<s>', 'room'): 24
('the', 'price'): 24
('we', 'arrived'): 24
(',', 'no'): 24
('i', 'do'): 24
('and', 'very'): 23
('over', 'the'): 23
('the', 'street'): 23
('the', 'beds'): 23
('<s>', 'a'): 23
('i', 'got'): 23
('the', 'chicago'): 23
('michigan', 'ave'): 23
('the', 'desk'): 23
(',', 'this'): 23
('will', 'be'): 23
('bed', '.'): 23
('nice', 'and'): 23
('clean', 'and'): 23
('so', 'we'): 23
('for', '$'): 23
('as', 'i'): 23
('navy', 'pier'): 23
('the', 'omni'): 23
('the', 'other'): 23
('as', 'the'): 22
('my', 'husband'): 22
('it', 'would'): 22
('not', 'a'): 22
('to', 'take'): 22
('one', 'night'): 22
('walking', 'distance'): 22
('has', 'a'): 22
('of', 'our'): 22
('in', '.'): 22
('very', 'good'): 22
('but', 'not'): 22
('here', 'for'): 22
('staff', 'were'): 22
('city', '.'): 22
('a', 'wonderful'): 22
('that', 'it'): 22
('they', 'did'): 22
('stay', 'in'): 22
('in', 'this'): 22
('very', 'clean'): 22
('at', 'all'): 22
('service', ','): 22
('clean', ','): 22
('as', 'a'): 22
('<s>', 'what'): 21
(',', 'or'): 21
('and', 'have'): 21
('you', 'are'): 21
('bathroom', 'was'): 21
('more', 'than'): 21
('from', 'a'): 21
('walk', 'to'): 21
('<s>', 'he'): 21
('ca', "n't"): 21
('in', 'my'): 21
('bed', 'was'): 21
('floor', '.'): 21
('rooms', '.'): 21
('the', 'amalfi'): 21
('were', 'not'): 21
('well', '.'): 21
('the', 'next'): 21
('magnificent', 'mile'): 21
('not', 'have'): 21
(')', 'and'): 21
('very', 'comfortable'): 20
('back', 'to'): 20
('for', 'an'): 20
('they', 'have'): 20
('would', "n't"): 20
('when', 'they'): 20
('to', 'me'): 20
('me', 'to'): 20
('went', 'to'): 20
('<s>', 'as'): 20
('there', 'were'): 20
('called', 'the'): 20
('very', 'friendly'): 20
('for', 'our'): 20
('comfortable', '.'): 20
('the', 'pool'): 20
('and', 'that'): 20
('i', 'booked'): 20
('wife', 'and'): 20
('<s>', 'at'): 20
('night', ','): 20
('because', 'of'): 20
('the', 'talbott'): 20
('do', 'not'): 20
('to', 'find'): 20
(',', 'when'): 19
('to', 'call'): 19
('hard', 'rock'): 19
('``', '.'): 19
('is', 'very'): 19
('and', 'there'): 19
('experience', '.'): 19
('for', 'one'): 19
('<s>', 'however'): 19
('<s>', 'stayed'): 19
('the', 'door'): 19
('time', '.'): 19
('the', 'morning'): 19
('location', '.'): 19
('us', '.'): 19
('get', 'to'): 19
('and', 'helpful'): 19
('just', 'a'): 19
('there', 'again'): 19
('good', '.'): 19
('downtown', 'chicago'): 19
('<s>', 'even'): 19
('they', 'would'): 19
("'s", 'a'): 19
('you', 'have'): 19
('decided', 'to'): 19
('next', 'to'): 19
('the', 'james'): 19
('the', 'ambassador'): 19
('in', 'our'): 19
('we', 'would'): 19
('on', 'my'): 19
('hotel', 'has'): 19
('they', 'are'): 19
('<s>', '('): 19
('michigan', 'avenue'): 18
('the', 'bar'): 18
(',', 'even'): 18
('the', 'restaurant'): 18
(',', 'if'): 18
('had', 'no'): 18
('staying', 'at'): 18
('is', 'great'): 18
('to', 'check'): 18
('<s>', 'overall'): 18
('the', 'river'): 18
('what', 'i'): 18
('i', 'think'): 18
('lot', 'of'): 18
('a', 'king'): 18
('but', 'we'): 18
('of', 'this'): 18
('very', 'helpful'): 18
('the', 'food'): 18
('to', 'say'): 18
('up', 'to'): 18
('a', 'small'): 18
('asked', 'for'): 18
('a', 'night'): 18
('was', 'that'): 18
('i', "'d"): 18
('star', 'hotel'): 18
('that', "'s"): 18
('<s>', '?'): 18
('--', '--'): 18
('you', "'re"): 17
(',', 'you'): 17
('a', '``'): 17
('even', 'though'): 17
('to', 'my'): 17
('there', '.'): 17
('to', 'pay'): 17
('floor', ','): 17
('much', 'better'): 17
('with', 'my'): 17
('stay', 'there'): 17
('at', 'least'): 17
('great', ','): 17
('some', 'of'): 17
('a', 'beautiful'): 17
('all', 'of'): 17
('that', 'there'): 17
('4', 'star'): 17
('<s>', '.'): 17
('to', 'make'): 17
('great', 'hotel'): 17
('the', 'fairmont'): 17
('the', 'magnificent'): 17
('to', 'use'): 17
('was', 'no'): 17
('the', 'swissotel'): 17
('<s>', 'would'): 17
('like', 'a'): 17
('was', 'told'): 17
('rooms', ','): 17
('told', 'that'): 17
('lobby', ','): 17
('you', 'want'): 17
('the', 'wall'): 16
('the', 'hard'): 16
('is', 'in'): 16
('which', 'is'): 16
('and', 'not'): 16
('need', 'to'): 16
('was', 'on'): 16
('up', 'and'): 16
('<s>', 'then'): 16
('tried', 'to'): 16
('hotel', 'to'): 16
('etc', '.'): 16
('as', 'we'): 16
('bed', 'and'): 16
('floor', 'and'): 16
('the', 'elevator'): 16
('the', 'conference'): 16
('the', 'fact'): 16
('the', 'conrad'): 16
('staff', 'is'): 16
('for', 'it'): 16
('room', 'that'): 16
(',', 'great'): 16
('location', 'was'): 16
('part', 'of'): 16
('for', 'me'): 16
('me', '.'): 16
('all', ','): 16
('desk', 'staff'): 16
('for', 'this'): 16
('room', 'had'): 16
('me', 'a'): 16
('i', 'can'): 16
('time', 'i'): 16
('take', 'a'): 16
('the', 'hilton'): 16
('<s>', 'while'): 16
('at', 'night'): 16
(',', 'very'): 16
('the', 'view'): 15
('<s>', 'location'): 15
('nice', ','): 15
('the', 'money'): 15
('a', 'couple'): 15
('the', 'reservation'): 15
("n't", 'be'): 15
('.', '``'): 15
('because', 'i'): 15
('were', 'able'): 15
('than', 'the'): 15
('would', 'definitely'): 15
('be', 'a'): 15
('we', 'booked'): 15
('to', 'see'): 15
('small', ','): 15
('my', 'stay'): 15
('per', 'night'): 15
('this', 'place'): 15
('fact', 'that'): 15
('we', 'will'): 15
('room', 'for'): 15
('us', 'a'): 15
('not', 'stay'): 15
('us', 'to'): 15
('other', 'than'): 15
('does', 'not'): 15
('work', '.'): 15
('!', ')'): 15
('the', 'loop'): 15
('will', 'not'): 15
('down', 'to'): 15
(',', 'my'): 15
('service', 'and'): 15
('spacious', 'and'): 15
('but', 'they'): 15
("n't", 'have'): 15
('<s>', 'just'): 15
('place', 'to'): 15
('and', 'were'): 15
('it', ','): 15
('you', 'will'): 15
('such', 'a'): 14
('bed', ','): 14
('was', 'also'): 14
('out', '.'): 14
('what', 'a'): 14
('booked', 'the'): 14
('next', 'day'): 14
('way', 'to'): 14
('going', 'to'): 14
('palmer', 'house'): 14
('that', 'you'): 14
(',', 'that'): 14
('(', 'the'): 14
('and', 'then'): 14
('in', ','): 14
('was', 'nice'): 14
('bathroom', '.'): 14
('<s>', 'from'): 14
('away', 'from'): 14
('in', 'and'): 14
('staff', ','): 14
('a', 'view'): 14
('we', 'found'): 14
('back', '.'): 14
('hotel', 'staff'): 14
('was', 'excellent'): 14
('comfortable', 'and'): 14
('i', 'checked'): 14
('hotel', 'with'): 14
('due', 'to'): 14
('arrived', 'at'): 14
('highly', 'recommend'): 14
('my', 'first'): 14
('lots', 'of'): 14
('to', 'eat'): 14
('staff', '.'): 14
('we', 'are'): 14
('paid', 'for'): 14
('off', 'the'): 14
('room', 'is'): 14
('room', 'in'): 14
('and', 'would'): 14
('not', 'the'): 14
('was', 'extremely'): 14
('(', 'which'): 14
('<s>', 'one'): 14
('gave', 'me'): 14
('go', 'back'): 14
('was', 'clean'): 14
('the', 'day'): 14
('again', ','): 14
('not', 'worth'): 14
('<s>', 'hotel'): 14
('had', 'been'): 14
('night', 'stay'): 14
('not', 'be'): 14
('loved', 'the'): 14
('comfortable', ','): 13
('next', 'door'): 13
('door', '.'): 13
(',', 'to'): 13
('shopping', 'and'): 13
('a', 'conference'): 13
('he', 'was'): 13
('couple', 'of'): 13
('<s>', '*'): 13
('the', 'walls'): 13
('near', 'the'): 13
('hotel', 'room'): 13
('the', 'palmer'): 13
('told', 'me'): 13
('and', 'went'): 13
('have', 'the'): 13
('desk', '.'): 13
('within', 'walking'): 13
('it', 'has'): 13
('requested', 'a'): 13
('for', 'two'): 13
("n't", 'get'): 13
('<s>', 'she'): 13
('and', 'clean'): 13
('desk', 'and'): 13
('gave', 'us'): 13
('i', 'asked'): 13
('into', 'the'): 13
('<s>', 'rooms'): 13
('helpful', ','): 13
('the', 'knickerbocker'): 13
('hotels', 'in'): 13
('of', 'chicago'): 13
('about', 'it'): 13
('that', 'this'): 13
('up', 'for'): 13
('area', '.'): 13
('<s>', 'staff'): 13
('ambassador', 'east'): 13
('we', 'checked'): 13
('lobby', '.'): 13
('the', 'allegro'): 13
('hotel', 'that'): 13
('a', 'suite'): 13
('have', 'had'): 13
('never', 'stay'): 13
(',', '``'): 13
('they', 'do'): 13
('and', 'my'): 13
('room', 'on'): 13
('a', 'business'): 13
('check', 'out'): 13
('helpful', 'and'): 13
('the', 'breakfast'): 13
('to', 'walk'): 13
('.', ')'): 13
('<s>', 'first'): 12
('<s>', 'finally'): 12
('and', 'did'): 12
('supposed', 'to'): 12
('small', 'and'): 12
('lobby', 'and'): 12
('to', 'us'): 12
('has', 'been'): 12
('during', 'the'): 12
('get', 'the'): 12
('<s>', 'although'): 12
('the', 'most'): 12
('you', 'could'): 12
('the', 'hyatt'): 12
(',', 'was'): 12
('was', 'perfect'): 12
('booked', 'a'): 12
('up', '.'): 12
('to', 'give'): 12
('lobby', 'was'): 12
('and', 'friendly'): 12
('friendly', '.'): 12
('the', 'doorman'): 12
('definitely', 'stay'): 12
('next', 'time'): 12
('even', 'the'): 12
('so', 'much'): 12
('and', 'so'): 12
('was', 'an'): 12
('hotel', '!'): 12
('got', 'the'): 12
('a', 'better'): 12
('trying', 'to'): 12
('chicago', 'for'): 12
('the', 'sheraton'): 12
('very', 'small'): 12
('<s>', 'its'): 12
('the', 'tv'): 12
('with', 'this'): 12
('we', 'paid'): 12
('worth', 'the'): 12
('i', 'arrived'): 12
('lobby', 'is'): 12
('beds', 'and'): 12
('which', 'i'): 12
('kind', 'of'): 12
('in', 'all'): 12
('to', 'another'): 12
('stay', ','): 12
('hotels', '.'): 12
('plenty', 'of'): 12
('a', '$'): 12
('seemed', 'to'): 12
('i', 'found'): 12
('...', '.'): 12
('nights', 'at'): 12
('location', 'of'): 12
('was', 'good'): 12
('could', 'have'): 12
('not', 'to'): 12
('when', 'the'): 12
('an', 'hour'): 12
('my', 'family'): 12
('to', 'do'): 12
('a', 'big'): 12
('loved', 'it'): 12
('stay', 'was'): 12
('with', 'no'): 12
('the', 'shower'): 12
('a', 'huge'): 12
('are', 'very'): 12
('all', '.'): 12
('morning', ','): 12
('than', 'a'): 11
('<s>', 'well'): 11
('is', 'no'): 11
('would', 'recommend'): 11
('first', 'time'): 11
('the', 'way'): 11
('had', 'not'): 11
('of', 'all'): 11
('overall', ','): 11
('was', 'just'): 11
('it', 'took'): 11
('the', 'manager'): 11
('by', 'a'): 11
('year', 'old'): 11
('it', 'had'): 11
('pump', 'room'): 11
('is', 'just'): 11
('mile', '.'): 11
('3', 'nights'): 11
('when', 'it'): 11
('should', 'have'): 11
('if', 'we'): 11
('<s>', 'had'): 11
('great', 'view'): 11
('and', 'comfortable'): 11
('<s>', 'everyone'): 11
('and', 'this'): 11
('in', 'an'): 11
('and', 'when'): 11
('rooms', 'and'): 11
('are', 'not'): 11
('the', 'area'): 11
('a', '4'): 11
('hotels', ','): 11
('like', 'the'): 11
('the', 'second'): 11
('me', ','): 11
("'ve", 'stayed'): 11
('the', 'place'): 11
('during', 'our'): 11
('day', ','): 11
('day', '.'): 11
('only', 'to'): 11
('is', 'that'): 11
('the', 'reviews'): 11
('was', 'quite'): 11
('the', 'sheets'): 11
('have', 'never'): 11
('desk', ','): 11
('too', '.'): 11
('<s>', 'will'): 11
('in', 'your'): 11
('returned', 'from'): 11
('as', 'it'): 11
('all', 'in'): 11
('they', 'said'): 11
('for', '2'): 11
(',', 'our'): 11
('since', 'i'): 11
('a', 'different'): 11
('will', 'never'): 11
('said', ','): 11
('got', 'to'): 11
('after', 'reading'): 11
('we', 'called'): 11
('2', 'nights'): 11
('to', 'michigan'): 11
("n't", 'work'): 11
('the', 'airport'): 11
('(', 'i'): 11
('to', 'sleep'): 11
('in', 'downtown'): 11
('we', 'went'): 11
('you', '.'): 11
('i', 'loved'): 11
('i', 'know'): 10
('weekend', '.'): 10
('were', 'there'): 10
(',', 'for'): 10
('the', 'floor'): 10
('looking', 'for'): 10
('reservation', '.'): 10
('<s>', 'to'): 10
('<s>', 'do'): 10
('that', ','): 10
('i', 'saw'): 10
('me', 'and'): 10
('i', 'paid'): 10
('back', 'from'): 10
('the', 'stay'): 10
('your', 'room'): 10
('i', 'thought'): 10
(',', 'especially'): 10
('the', 'elevators'): 10
('was', 'more'): 10
('floor', 'with'): 10
('we', 'left'): 10
('shopping', ','): 10
('time', 'we'): 10
('my', 'daughter'): 10
('about', 'this'): 10
('will', 'definitely'): 10
('based', 'on'): 10
('breakfast', 'and'): 10
('is', 'an'): 10
('of', 'people'): 10
('like', 'to'): 10
('for', 'that'): 10
('that', '.'): 10
('excellent', '.'): 10
('<s>', 'good'): 10
('good', 'location'): 10
('the', 'building'): 10
('when', 'you'): 10
('this', 'time'): 10
('i', 'decided'): 10
('a', 'large'): 10
("n't", 'even'): 10
('was', 'my'): 10
('blocks', 'from'): 10
('for', 'your'): 10
('trip', 'to'): 10
('mile', ','): 10
('because', 'the'): 10
('only', 'thing'): 10
('not', 'even'): 10
('up', 'the'): 10
('on', 'michigan'): 10
('of', 'course'): 10
('a', 'free'): 10
('an', 'old'): 10
('i', "'ll"): 10
('just', 'returned'): 10
('wanted', 'to'): 10
('a', 'new'): 10
('was', 'fine'): 10
('the', 'sofitel'): 10
('such', 'as'): 10
('the', 'last'): 10
('business', 'and'): 10
('found', 'the'): 10
('was', 'friendly'): 10
('going', 'on'): 10
('the', 'toilet'): 10
('beds', '.'): 10
('to', 'anyone'): 10
('<s>', '2'): 10
('on', 'business'): 10
('everything', 'was'): 10
('can', 'get'): 10
('pay', 'for'): 10
('forward', 'to'): 10
('distance', 'to'): 10
('the', 'decor'): 10
('the', 'windows'): 10
('a', 'week'): 10
('minute', 'walk'): 10
('they', 'could'): 10
('would', 'stay'): 10
('you', 'get'): 10
('the', 'lake'): 10
('all', 'night'): 10
(',', 'in'): 9
('we', 'also'): 9
('less', 'than'): 9
('a', 'drink'): 9
('there', 'for'): 9
('called', 'to'): 9
('day', 'to'): 9
('another', 'hotel'): 9
('us', ','): 9
('and', 'no'): 9
('on', 'it'): 9
('were', 'on'): 9
('shower', 'and'): 9
('is', "n't"): 9
('made', 'the'): 9
('enjoyed', 'the'): 9
('my', 'reservation'): 9
('with', 'me'): 9
('asked', 'to'): 9
('the', 'bell'): 9
('enough', 'to'): 9
('with', 'two'): 9
('sleep', '.'): 9
('better', '.'): 9
('recommend', 'it'): 9
('first', 'night'): 9
('i', 'requested'): 9
('again', '!'): 9
('easy', 'to'): 9
('the', 'property'): 9
('were', 'a'): 9
('perfect', 'for'): 9
('a', 'short'): 9
('for', '3'): 9
('desk', 'clerk'): 9
('bar', ','): 9
('and', 'even'): 9
('across', 'the'): 9
('restaurants', ','): 9
('came', 'back'): 9
('she', 'was'): 9
('<s>', 'yes'): 9
(',', 'at'): 9
('the', 'entire'): 9
('the', 'free'): 9
('<s>', 'really'): 9
('said', 'they'): 9
('an', 'excellent'): 9
('off', 'of'): 9
('price', '.'): 9
('and', 'got'): 9
('king', 'bed'): 9
('(', '$'): 9
('the', 'night'): 9
('chicago', 'river'): 9
('place', '.'): 9
('wait', 'to'): 9
('to', 'leave'): 9
('we', 'asked'): 9
('else', '.'): 9
('location', 'and'): 9
('the', 'great'): 9
('the', 'art'): 9
('care', 'of'): 9
('no', 'one'): 9
('the', 'intercontinental'): 9
('website', '.'): 9
('friendly', ','): 9
('good', ','): 9
('right', 'on'): 9
('not', 'recommend'): 9
('room', 'at'): 9
('out', 'for'): 9
('credit', 'card'): 9
('bar', 'was'): 9
('nights', 'in'): 9
('the', 'minibar'): 9
('of', 'it'): 9
('on', '.'): 9
('guests', '.'): 9
('them', '.'): 9
('i', 'travel'): 9
('while', 'the'): 9
('we', 'returned'): 9
('breakfast', 'was'): 9
('even', 'if'): 9
('because', 'it'): 9
('take', 'the'): 9
('so', ','): 9
('for', 'their'): 9
('were', 'told'): 9
('for', '4'): 9
('with', '2'): 9
('the', 'customer'): 9
('the', 'time'): 9
('river', '.'): 9
('our', 'reservation'): 9
('(', 'and'): 9
('great', 'deal'): 9
('the', 'internet'): 9
('way', '.'): 9
('is', 'also'): 9
('<s>', 'unfortunately'): 9
('was', 'pretty'): 9
('the', 'carpet'): 9
('bed', 'bugs'): 9
('the', 'window'): 9
('i', 'went'): 9
('and', 'in'): 9
('i', 'really'): 9
('beds', 'were'): 9
('visit', '.'): 9
('be', 'back'): 9
('the', 'water'): 9
('city', ','): 9
('pier', '.'): 9
('they', 'gave'): 9
('hard', 'to'): 9
('flat', 'screen'): 8
('screen', 'tv'): 8
('never', 'had'): 8
('husband', 'and'): 8
('restaurant', ','): 8
('great', 'and'): 8
('restaurant', '.'): 8
('but', ','): 8
('here', '.'): 8
('use', '.'): 8
('pool', ','): 8
('the', 'past'): 8
('beds', 'are'): 8
('left', 'the'): 8
('and', 'he'): 8
('it', 'to'): 8
('<s>', 'during'): 8
('not', 'been'): 8
('could', 'hear'): 8
('check-in', 'was'): 8
('the', 'whole'): 8
('michigan', 'ave.'): 8
('shopping', '.'): 8
('chicago', 'is'): 8
('very', 'spacious'): 8
('are', 'small'): 8
('the', 'monaco'): 8
('view', '.'): 8
('for', 'business'): 8
('two', 'nights'): 8
(',', 'he'): 8
('double', 'beds'): 8
('the', 'pump'): 8
('river', 'and'): 8
('and', 'michigan'): 8
('a', 'cab'): 8
('cab', 'ride'): 8
('used', 'to'): 8
('because', 'we'): 8
('<s>', 'two'): 8
('there', ','): 8
('and', 'do'): 8
('<s>', 'oh'): 8
('the', 'valet'): 8
('$', '200'): 8
('is', 'one'): 8
('we', 'came'): 8
('the', 'maid'): 8
('was', 'there'): 8
('the', 'people'): 8
('i', 'ca'): 8
('it', 'a'): 8
('of', 'us'): 8
('every', 'morning'): 8
('was', 'able'): 8
('around', 'the'): 8
('and', 'service'): 8
('that', 'are'): 8
('times', '.'): 8
('the', 'weekend'): 8
('very', 'large'): 8
('great', 'rate'): 8
("'s", '.'): 8
('have', 'ever'): 8
('one', '.'): 8
('room', 'to'): 8
('more', '.'): 8
('top', 'of'): 8
('available', '.'): 8
('suite', '.'): 8
('bottle', 'of'): 8
('desk', 'person'): 8
('leave', 'the'): 8
('places', 'to'): 8
('hotel', 'again'): 8
('are', 'many'): 8
('millenium', 'park'): 8
('the', 'extra'): 8
('the', 'main'): 8
('use', 'the'): 8
('one', 'was'): 8
('better', 'than'): 8
('this', 'room'): 8
('but', 'was'): 8
('was', 'only'): 8
('as', 'you'): 8
(')', 'the'): 8
('the', 'bathrooms'): 8
('a', 'weekend'): 8
('the', 'furniture'): 8
('food', 'and'): 8
('disappointed', '.'): 8
('rude', '.'): 8
('``', 'i'): 8
('water', 'tower'): 8
('-', 'the'): 8
(',', 'just'): 8
('hotel', 'did'): 8
('does', "n't"): 8
('to', 'all'): 8
('to', 'bring'): 8
('but', 'for'): 8
('staff', 'and'): 8
('arrived', ','): 8
('after', 'a'): 8
('breakfast', '.'): 8
('in', 'room'): 8
('had', 'the'): 8
('like', 'it'): 8
('the', 'end'): 8
('end', 'of'): 8
('trip', '.'): 8
('4', 'nights'): 8
('up', 'at'): 8
('with', 'an'): 8
('and', 'said'): 8
('coffee', 'maker'): 8
('if', 'they'): 8
('down', '.'): 8
('bathroom', 'is'): 8
('we', "'re"): 8
('the', 'evening'): 8
('to', 'wait'): 8
('with', 'our'): 8
('<s>', '1'): 8
('it', 'for'): 8
('were', 'in'): 8
('days', '.'): 8
('the', 'doormen'): 8
('and', 'found'): 8
('after', 'the'): 8
('took', 'the'): 8
('breakfast', 'buffet'): 8
('<s>', 'with'): 8
('were', 'quite'): 8
('booked', 'this'): 8
('a', '5'): 8
('two', 'beds'): 8
('and', 'our'): 8
('a', 'long'): 8
('time', ','): 8
(',', 'all'): 8
('can', 'not'): 8
('and', 'all'): 8
('compared', 'to'): 8
('looking', 'at'): 8
(':', ')'): 8
('out', 'the'): 8
('just', 'to'): 8
('of', 'its'): 8
('worth', 'it'): 8
('that', 'were'): 8
('on', 'this'): 8
('say', 'that'): 8
('a', 'day'): 8
('the', 'worst'): 8
('...', 'and'): 8
('night', 'for'): 8
('ended', 'up'): 8
('<s>', 'now'): 8
('the', 'top'): 8
('of', 'wine'): 8
('the', 'receptionist'): 8
('greeted', 'by'): 7
('quiet', ','): 7
('the', 'shopping'): 7
('unfortunately', ','): 7
('instead', 'of'): 7
('not', 'work'): 7
('every', 'day'): 7
('was', '.'): 7
('for', 'room'): 7
('is', 'beautiful'): 7
('everyone', 'was'): 7
('love', 'the'): 7
('to', 'spend'): 7
('i', 'took'): 7
('i', 'chose'): 7
('beautiful', '.'): 7
('the', 'fitness'): 7
('fitness', 'center'): 7
('and', 'out'): 7
('floor', ')'): 7
('(', 'we'): 7
('pillows', '.'): 7
('only', 'a'): 7
('up', ','): 7
('staying', 'here'): 7
('but', 'you'): 7
('are', 'in'): 7
('the', 'construction'): 7
('at', 'any'): 7
(',', 'although'): 7
('in', 'early'): 7
('year', '.'): 7
('to', 'help'): 7
('15', 'minutes'): 7
('room', 'i'): 7
('we', 'walked'): 7
('through', 'the'): 7
('park', ','): 7
('you', 'like'): 7
('most', 'hotels'): 7
('in', 'line'): 7
('the', 'back'): 7
('out', 'to'): 7
('<s>', 'never'): 7
('a', 'taxi'): 7
('definitely', 'recommend'): 7
('nights', 'for'): 7
('you', 'do'): 7
('a', 'special'): 7
('large', 'and'): 7
('the', 'employees'): 7
('stayed', 'for'): 7
('since', 'it'): 7
('well', ','): 7
('upon', 'arrival'): 7
('arrival', ','): 7
('yes', ','): 7
('made', 'up'): 7
